Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2020-07-29,11105.9,10908.4,11336.5,10771.8,576.83K,1.81%,Bit,Bitcoin,0.5768300000000001
2020-07-28,10908.5,10961.1,11046.1,10873.6,658.37K,-1.04%,Bit,Bitcoin,0.65837
2020-07-27,11022.8,9932.7,11367.0,9894.6,908.99K,10.98%,Bit,Bitcoin,0.90899
2020-07-26,9932.5,9690.0,10086.6,9645.9,415.07K,2.35%,Bit,Bitcoin,0.41507
2020-07-25,9704.1,9546.7,9729.3,9536.2,306.29K,1.65%,Bit,Bitcoin,0.30629
2020-07-24,9546.4,9599.2,9626.2,9480.5,359.16K,-0.55%,Bit,Bitcoin,0.35916000000000003
2020-07-23,9599.6,9513.6,9646.5,9451.1,425.66K,0.90%,Bit,Bitcoin,0.42566000000000004
2020-07-22,9513.7,9387.4,9523.1,9296.0,386.00K,1.35%,Bit,Bitcoin,0.386
2020-07-21,9387.3,9162.3,9426.9,9155.1,458.99K,2.46%,Bit,Bitcoin,0.45899
2020-07-20,9162.4,9208.1,9218.4,9139.9,312.98K,-0.50%,Bit,Bitcoin,0.31298000000000004
2020-07-19,9208.0,9170.1,9224.8,9106.4,265.25K,0.41%,Bit,Bitcoin,0.26525
2020-07-18,9170.2,9155.8,9198.8,9126.7,276.40K,0.16%,Bit,Bitcoin,0.2764
2020-07-17,9155.8,9135.4,9181.9,9091.5,310.92K,0.22%,Bit,Bitcoin,0.31092000000000003
2020-07-16,9135.3,9198.7,9224.2,9052.0,429.04K,-0.69%,Bit,Bitcoin,0.42904000000000003
2020-07-15,9198.7,9253.6,9270.2,9168.7,429.84K,-0.59%,Bit,Bitcoin,0.42984
2020-07-14,9253.4,9243.1,9274.8,9135.7,453.83K,0.11%,Bit,Bitcoin,0.45383
2020-07-13,9243.6,9300.5,9329.6,9207.6,456.87K,-0.62%,Bit,Bitcoin,0.45687
2020-07-12,9300.8,9234.2,9337.8,9170.4,366.88K,0.73%,Bit,Bitcoin,0.36688
2020-07-11,9233.3,9285.8,9295.5,9184.2,353.92K,-0.56%,Bit,Bitcoin,0.35392
2020-07-10,9285.1,9239.0,9309.8,9131.9,418.47K,0.53%,Bit,Bitcoin,0.41847
2020-07-09,9235.7,9430.1,9434.5,9176.0,444.27K,-2.06%,Bit,Bitcoin,0.44427
2020-07-08,9429.9,9256.3,9458.3,9233.1,509.94K,1.88%,Bit,Bitcoin,0.50994
2020-07-07,9256.0,9338.8,9371.2,9209.3,420.55K,-0.89%,Bit,Bitcoin,0.42055000000000003
2020-07-06,9339.0,9080.4,9363.0,9063.2,510.27K,2.84%,Bit,Bitcoin,0.51027
2020-07-05,9081.0,9134.3,9149.6,8932.1,314.10K,-0.58%,Bit,Bitcoin,0.31410000000000005
2020-07-04,9134.4,9067.1,9182.3,9049.6,261.25K,0.74%,Bit,Bitcoin,0.26125
